"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"FLWS","1-800 FLOWERS.COM, Inc.","3.8","106134000","n/a","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"FCTY","1st Century Bancshares, Inc","4.5","40626000","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcty",
"FCCY","1st Constitution Bancorp (NJ)","9.3","47392800","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","23.06","559435600","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"FUBC","1st United Bancorp, Inc. (FL)","6.32","215227600","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fubc",
"TCHC","21st Century Holding Company","4.54","36079380","n/a","1998","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/tchc",
"VNET","21Vianet Group, Inc.","10.03","302564980","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"SSRX","3SBio Inc.","12.52","276291360","n/a","2007","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ssrx",
"JOBS","51job, Inc.","36.13","1039821400","n/a","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"EGHT","8x8 Inc","5.06","357787540","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","14.56","191828000","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","21.86","645263480","n/a","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"AONE","A123 Systems, Inc.","0.6909","101468337.6","n/a","2009","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aone",
"AAON","AAON, Inc.","20.22","496401000","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"ASTM","Aastrom Biosciences, Inc.","1.97","76349320","n/a","1997","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/astm",
"ABAX","ABAXIS, Inc.","39.37","853935300","n/a","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"ABMD","ABIOMED, Inc.","23.71","931162830","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","2.71","250219720","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"ACTG","Acacia Research Corporation","39.75","1975614750","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","16.6","534802200","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","1.59","84153930","n/a","1985","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad",
"ACCL","Accelrys, Inc.","8.25","457998750","n/a","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/accl",
"ANCX","Access National Corporation","13.66","139782780","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx",
"ARAY","Accuray Incorporated","6.51","464156490","n/a","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","3.33","75304620","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx",
"ACET","Aceto Corporation","8.97","240566430","n/a","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/acet",
"ACHN","Achillion Pharmaceuticals, Inc.","6.65","469795900","n/a","2006","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","44.91","1785486870","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw",
"APKT","Acme Packet, Inc.","17.55","1199682900","n/a","2006","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/apkt",
"ACNB","ACNB Corporation","14.5","86260500","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb",
